index,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,q
17,0.52996826171875,160,0,143,146,520,514,564.543505320355,342.720776096478,615.829041824947,465.943058239,0.788792688861956
18,0.55999755859375,160,0,144,148,519,511,564.61615732851,342.756607244337,615.981980187525,465.853721735965,0.790625266668893
19,0.5899658203125,160,0,146,149,521,512,564.543505320355,342.720776096478,613.72386911764,466.601067517655,0.755833435112125
20,0.62994384765625,160,0,147,150,522,512,564.543505320355,342.720776096478,613.498288985287,466.832161056783,0.751412236612154
21,0.65997314453125,160,0,147,151,517,509,564.543505320355,342.720776096478,613.498288985287,466.832161056783,0.751412236612154
22,0.68994140625,160,0,146,150,509,504,564.543505320355,342.720776096478,620.047167342979,464.688822149219,0.854119692637698
23,0.719970703125,160,0,148,151,510,502,564.543505320355,342.720776096478,620.047167342979,464.688822149219,0.854119692637698
24,0.75,160,0,149,152,513,505,564.543505320355,342.720776096478,617.549889468731,465.613671263783,0.814426112106678
25,0.77996826171875,160,0,149,153,516,507,564.543505320355,342.720776096478,617.549889468731,465.613671263783,0.814426112106678
26,0.80999755859375,160,0,148,152,515,506,564.543505320355,342.720776096478,620.027187929344,464.698789850139,0.853786663811234
27,0.8399658203125,160,0,149,152,512,504,564.543505320355,342.720776096478,620.027187929344,464.698789850139,0.853786663811234
28,0.87994384765625,160,0,148,152,510,503,564.543505320355,342.720776096478,621.078657939487,464.039860191423,0.872165372070564
29,0.89996337890625,160,0,149,152,511,504,564.543505320355,342.720776096478,621.078657939487,464.039860191423,0.872165372070564
30,0.93994140625,160,0,150,153,515,506,564.543505320355,342.720776096478,621.078657939487,464.039860191423,0.872165372070564
31,0.969970703125,160,0,150,153,514,506,564.543505320355,342.720776096478,621.078657939487,464.039860191423,0.872165372070564
32,1,160,0,149,153,513,504,564.490661663902,342.695870330156,621.060958886089,463.830616027533,0.873806723397095
33,1.02996826171875,160,0,151,154,508,501,564.563248671523,342.731665068915,622.835437346631,463.259160497491,0.900682980464462
34,1.05999755859375,160,0,151,154,511,502,564.563248671523,342.731665068915,622.835437346631,463.259160497491,0.900682980464462
35,1.0899658203125,160,0,148,154,513,503,564.563248671523,342.731665068915,620.437188770734,464.324237243113,0.861481211866997
36,1.12994384765625,160,0,150,154,513,504,564.490661663902,342.695870330156,620.438137682428,464.214900116307,0.862939222750853
37,1.14996337890625,160,0,151,153,510,503,564.563248671523,342.731665068915,622.485210197166,463.54163820487,0.894140623965415
38,1.18994140625,160,0,149,153,509,502,564.490661663902,342.695870330156,623.10775105397,463.046978555366,0.906469185558798
39,1.219970703125,160,0,151,154,508,502,564.568111296964,342.722251733979,622.699958151328,463.503490943323,0.897149813125618
40,1.25,160,0,152,155,511,502,564.563248671523,342.731665068915,620.949693689801,463.940290597835,0.870846817263927
41,1.27996826171875,160,0,150,154,514,504,564.563248671523,342.731665068915,620.949693689801,463.940290597835,0.870846817263927
